reg_num,subj,crse,title
20440,PSY,PSY,PSY
10420,PSY,PSY,PSY
20590,BIOL,BIOL,BIOL
20441,PSY,PSY,PSY
20664,PSY,PSY,PSY
10759,REL,REL,REL
20521,REL,REL,REL
10523,REL,REL,REL
10524,REL,REL,REL
10785,REL,REL,REL
10786,REL,REL,REL
10787,REL,REL,REL
20522,REL,REL,REL
20591,BIOL,BIOL,BIOL
10525,REL,REL,REL
20523,REL,REL,REL
10760,REL,REL,REL
10527,REL,REL,REL
20666,REL,REL,REL
10197,RUSS,RUSS,RUSS
10799,RUSS,RUSS,RUSS
10799,RUSS,RUSS,RUSS
10198,RUSS,RUSS,RUSS
10537,RUSS,RUSS,RUSS
20593,BIOL,BIOL,BIOL
10536,RUSS,RUSS,RUSS
20534,RUSS,RUSS,RUSS
20530,RUSS,RUSS,RUSS
10539,RUSS,RUSS,RUSS
20535,RUSS,RUSS,RUSS
20532,RUSS,RUSS,RUSS
10541,RUSS,RUSS,RUSS
10474,SOC,SOC,SOC
10475,SOC,SOC,SOC
10476,SOC,SOC,SOC
20594,BIOL,BIOL,BIOL
10477,SOC,SOC,SOC
10478,SOC,SOC,SOC
10479,SOC,SOC,SOC
10480,SOC,SOC,SOC
20684,SOC,SOC,SOC
20685,SOC,SOC,SOC
20653,SOC,SOC,SOC
20654,SOC,SOC,SOC
10520,SOC,SOC,SOC
20646,SOC,SOC,SOC
20595,BIOL,BIOL,BIOL
10522,SOC,SOC,SOC
10199,SPAN,SPAN,SPAN
10200,SPAN,SPAN,SPAN
10201,SPAN,SPAN,SPAN
10202,SPAN,SPAN,SPAN
10203,SPAN,SPAN,SPAN
10378,SPAN,SPAN,SPAN
10491,SPAN,SPAN,SPAN
10492,SPAN,SPAN,SPAN
20492,SPAN,SPAN,SPAN
10610,BIOL,BIOL,BIOL
10494,SPAN,SPAN,SPAN
20491,SPAN,SPAN,SPAN
20683,SPAN,SPAN,SPAN
10493,SPAN,SPAN,SPAN
10770,SPAN,SPAN,SPAN
20490,SPAN,SPAN,SPAN
10528,THEA,THEA,THEA
10530,THEA,THEA,THEA
10531,THEA,THEA,THEA
20525,THEA,THEA,THEA
10611,BIOL,BIOL,BIOL
20526,THEA,THEA,THEA
10532,THEA,THEA,THEA
10533,THEA,THEA,THEA
20527,THEA,THEA,THEA
10534,THEA,THEA,THEA
20528,THEA,THEA,THEA
10535,THEA,THEA,THEA
20529,THEA,THEA,THEA
10744,HIST,HIST,HIST
10745,HUM,HUM,HUM
10482,ANTH,ANTH,ANTH
10612,BIOL,BIOL,BIOL
20649,LBST,LBST,LBST
20650,LIT,LIT,LIT
10746,MATH,MATH,MATH
20651,THEA,THEA,THEA
10613,BIOL,BIOL,BIOL
10614,BIOL,BIOL,BIOL
10615,BIOL,BIOL,BIOL
20597,BIOL,BIOL,BIOL
20599,BIOL,BIOL,BIOL
20600,BIOL,BIOL,BIOL
10771,BIOL,BIOL,BIOL
10772,BIOL,BIOL,BIOL
10773,BIOL,BIOL,BIOL
10485,ANTH,ANTH,ANTH
20603,BIOL,BIOL,BIOL
20604,BIOL,BIOL,BIOL
20605,BIOL,BIOL,BIOL
10616,BIOL,BIOL,BIOL
10617,BIOL,BIOL,BIOL
10618,BIOL,BIOL,BIOL
10619,BIOL,BIOL,BIOL
20606,BIOL,BIOL,BIOL
20608,BIOL,BIOL,BIOL
